Date,Open,High,Low,Close,Volume,Name,Dividends,Stock Splits,Capital Gains
2023-02-14 00:00:00+05:30,60.65,60.65,50.7,55.85,37368698,IBREALEST,,,
2023-02-15 00:00:00+05:30,55.65,59.3,55.6,57.85,14092504,IBREALEST,,,
2023-02-16 00:00:00+05:30,58.0,58.65,57.3,58.05,5696610,IBREALEST,,,
2023-02-17 00:00:00+05:30,57.9,57.95,55.55,56.1,7685644,IBREALEST,,,
2023-02-20 00:00:00+05:30,56.4,56.4,53.65,54.3,4945247,IBREALEST,,,
2023-02-21 00:00:00+05:30,54.2,54.95,52.75,54.25,6068709,IBREALEST,,,
2023-02-22 00:00:00+05:30,54.0,54.95,52.55,52.95,5432053,IBREALEST,,,
2023-02-23 00:00:00+05:30,53.25,54.35,51.3,52.95,7246787,IBREALEST,,,
2023-02-24 00:00:00+05:30,53.4,60.65,53.3,59.5,37155572,IBREALEST,,,
2023-02-27 00:00:00+05:30,60.0,62.85,59.85,60.9,19705212,IBREALEST,,,
2023-02-28 00:00:00+05:30,62.0,62.25,56.7,57.6,16725435,IBREALEST,,,
2023-03-01 00:00:00+05:30,57.7,60.95,57.7,59.9,9756055,IBREALEST,,,
2023-03-02 00:00:00+05:30,59.6,60.75,58.7,59.4,7812597,IBREALEST,,,
2023-03-03 00:00:00+05:30,59.9,61.9,59.05,61.05,9538394,IBREALEST,,,
2023-03-06 00:00:00+05:30,61.5,63.6,61.15,62.45,7762186,IBREALEST,,,
2023-03-08 00:00:00+05:30,61.3,64.4,60.65,64.1,10051093,IBREALEST,,,
2023-03-09 00:00:00+05:30,64.2,64.7,63.1,63.9,5329573,IBREALEST,,,
2023-03-10 00:00:00+05:30,63.0,63.85,62.2,63.0,5959009,IBREALEST,,,
2023-03-13 00:00:00+05:30,63.35,63.55,58.7,59.5,7554516,IBREALEST,,,
2023-03-14 00:00:00+05:30,59.2,59.5,56.55,57.45,7922623,IBREALEST,,,
2023-03-15 00:00:00+05:30,58.05,58.9,55.8,56.45,6649876,IBREALEST,,,
2023-03-16 00:00:00+05:30,56.2,57.7,54.3,57.2,7615674,IBREALEST,,,
2023-03-17 00:00:00+05:30,57.55,58.65,56.6,57.3,5404880,IBREALEST,,,
2023-03-20 00:00:00+05:30,57.15,57.55,55.3,55.85,5335981,IBREALEST,,,
2023-03-21 00:00:00+05:30,56.3,56.9,55.6,55.95,3752508,IBREALEST,,,
2023-03-22 00:00:00+05:30,56.25,57.0,55.4,55.8,5846017,IBREALEST,,,
2023-03-23 00:00:00+05:30,55.6,56.0,54.5,54.65,4528634,IBREALEST,,,
2023-03-24 00:00:00+05:30,54.55,54.6,51.15,51.6,7032836,IBREALEST,,,
2023-03-27 00:00:00+05:30,52.0,52.4,48.75,49.35,10523513,IBREALEST,,,
2023-03-28 00:00:00+05:30,49.5,49.75,46.2,46.95,9855999,IBREALEST,,,
2023-03-29 00:00:00+05:30,47.05,48.85,45.9,47.85,16017113,IBREALEST,,,
2023-03-31 00:00:00+05:30,48.4,52.0,48.4,48.9,17032260,IBREALEST,,,
2023-04-03 00:00:00+05:30,49.3,50.85,48.95,50.5,8701024,IBREALEST,,,
2023-04-05 00:00:00+05:30,50.9,54.45,50.2,54.0,17486844,IBREALEST,,,
2023-04-06 00:00:00+05:30,54.2,55.9,53.55,54.75,11325123,IBREALEST,,,
2023-04-10 00:00:00+05:30,55.0,56.6,54.8,55.8,8276649,IBREALEST,,,
2023-04-11 00:00:00+05:30,56.2,58.5,56.05,56.75,11426117,IBREALEST,,,
2023-04-12 00:00:00+05:30,57.1,57.45,55.15,55.6,8160358,IBREALEST,,,
2023-04-13 00:00:00+05:30,55.4,58.0,54.8,57.3,8520897,IBREALEST,,,
2023-04-17 00:00:00+05:30,57.25,58.25,56.55,57.1,6482574,IBREALEST,,,
